Tỉnh,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Hà Nội,206.9,206.9,204.7,204.9,205.4,204.3,202.8,200.6,197.1,189.9,179.5,171.7,165.6,162.2
Vĩnh Phúc,60.5,60.5,59.3,59.2,59.4,59,58.6,58.4,58.4,57.9,56.6,54.1,53.9,53.7
Bắc Ninh,74.8,74.8,74.3,73.7,72.6,72.5,72.7,71.9,70.8,69.1,66.4,65.6,63.4,61.8
Quảng Ninh,45,45,44.7,43.9,43.6,43,43.1,42.5,42.3,41.6,41.1,40.2,39.1,38.5
Hải Dương,127,127,127.5,126.6,126.4,125.9,125,122.7,120.3,118.2,116.4,114.9,112.5,111
Hải Phòng,82.4,82.4,80.9,79.6,79.2,78.2,77.1,75.8,74,72.3,69.3,64.9,58.6,57.7
Hưng Yên,81.5,81.5,81.9,81.9,81.8,80.7,78.9,77.5,74.1,70.4,66.4,63,58.8,56.1
Thái Bình,167.1,167.1,166.4,165.7,162.8,161.8,161.8,161,160.1,158.7,157.2,155.2,153.7,153.2
Hà Nam,70.4,70.4,70.3,69.8,69,68.2,67.4,66.8,65.6,64.5,63.2,62.1,60.5,59.5
Nam Định,158.6,158.6,159,158.4,157.3,155.4,154.9,154.4,153,151.1,149.1,147,145.4,144.9
Ninh Bình,81.2,81.3,81.1,80.8,81.2,80.9,80.4,79.3,78.7,77.7,75.6,73.6,71.9,71.8
Hà Giang,37.1,37,36.5,37.3,37.4,37.4,37.4,36.8,37.5,37.5,37.5,37.5,37.5,37.6
Cao Bằng,30.3,30.4,30.5,30.1,30.7,30.4,30.4,30.5,28.9,30.4,30.3,30.2,29,29.2
Bắc Kạn,21.5,21.8,21.8,22.2,22.3,23,24,24.6,24.3,24,23.5,23.3,22.9,22.9
Tuyên Quang,45.6,45.6,45.4,45.5,45.8,45.9,45.6,45.6,45.1,45.1,44.8,44.3,44.5,44.2
Lào Cai,29.1,29.1,29.7,30.4,30.6,30.5,30.8,30.7,31.6,32.3,33.6,33.7,34,34
Yên Bái,41.2,41.2,41,41.2,40.4,40.5,40.9,41.3,42.8,42.5,42.1,42.8,42.9,42.6
Thái Nguyên,69.9,69.9,69.8,71.2,72.6,72.2,72.5,72.4,72,71.1,70.7,70.1,69.8,68.8
Lạng Sơn,49.9,49.9,49.6,49.6,50.3,50.8,50.7,49.8,50.1,49.5,48.8,48.4,48.1,47.2
Bắc Giang,111.4,111.4,112.2,112.5,112.1,111.6,112.8,111.5,109.5,106.8,104,102.8,100.9,99.7
Phú Thọ,71.3,71.3,68.8,69.7,69.2,69.8,69.6,69.4,67.7,67.1,64.3,61.7,61.3,60.2
Điện Biên,44.9,44.9,46.4,47.5,48.3,49,49.4,49.4,50.1,50.2,51.3,51.7,52.4,53.8
Lai Châu,30,30.2,30.3,29.3,28.8,30.3,30.4,30.9,31.4,32.9,32.1,32.9,32.7,32.3
Sơn La,45.9,45.9,44.6,44.1,48.2,56.7,54.3,52.1,51.7,51,50.6,50.8,51.6,51.2
Hoà Bình,41.7,41.8,39.8,40.3,41.3,41.1,40.4,39.3,39.9,39.4,38.8,38.8,37.6,38.5
Thanh Hoá,258.1,258.1,253.6,257.1,256.7,256.3,258.6,257,253.9,250.5,244.4,237.9,231.2,231.9
Nghệ An,184.6,184.4,183.4,186,186.1,184.2,187.9,186.6,186,188.6,186.4,181.7,180.3,179.4
Hà Tĩnh,100.5,100.5,99.1,99.1,99.3,98.7,101.1,101.7,103.4,104.1,102.8,103.6,103.8,104.9
Quảng Bình,50.8,50.8,52.1,52.8,53.4,53.5,54.2,54.1,55,55.4,54.3,52.2,53.2,53.7
Quảng Trị,48.1,48.1,48.1,48.5,49,50.1,50.2,47.7,49.8,50.3,50.7,50.5,50.7,50.2
Thừa Thiên Huế,53.1,53.1,53.7,53.5,53.8,53.7,53.7,54.4,54.5,54.9,54.7,54.8,54.3,53.9
Đà Nẵng,8,7.8,7.3,6.5,5.9,5.4,5.5,5.4,5.4,5.2,5.2,5.1,4.8,4.7
Quảng Nam,85.9,86.6,85.3,87.7,88.6,87.9,87.4,88.5,86.7,86.8,86.2,84.9,83.5,82.6
Quảng Ngãi,73.8,72.5,72.7,72.5,73.5,74.8,73.8,75.7,75.8,75.5,74.8,73.4,71.2,73.1
Bình Định,115.1,114,113.1,112.4,111.2,102.5,106.3,105.7,102.5,105.1,103.6,100,94.2,96
Phú Yên,56.7,56.7,56.5,57.4,57.1,57.8,57,57.2,57.5,56.9,56.6,55.4,54.8,55.2
Khánh Hoà,45.7,45.9,44.2,45.2,47.1,46.6,45.6,34.2,39.9,47.5,46.6,45.6,33.4,45.3
Ninh Thuận,37.9,39.2,37.8,38.8,41.5,43.6,42.8,37.3,41.4,48.4,42.9,44.4,32.6,44.1
Bình Thuận,101,103.3,107.2,111.3,113.2,115.3,119.7,115,103.5,124.2,125.2,118.7,109.7,123.5
Kon Tum,23.4,23.8,22.4,22.6,23.3,23.4,23.6,24.4,24.2,24,23.7,23.7,23.3,23.3
Gia Lai,68.4,69.9,70.4,70.5,73.4,74,75.2,75.2,72.8,74.6,74.7,74,75.7,75.1
Đắk Lắk,75.8,76.7,80.1,84.5,87.4,90.3,94.4,93.4,93.9,101.5,105.3,105,107.6,111.7
Đắk Nông,11.4,11.8,11.1,12.3,12.3,12.3,12.6,12.6,12.4,13,13.2,12.8,12.7,13
Lâm Đồng,32.2,33.4,33.8,34.3,33.3,32.4,32,31.9,30,30.3,28.7,28.2,27.6,27.1
Bình Phước,14.3,14.8,14.6,13.4,14.6,13.6,13,12.8,12.2,12.2,12.1,11.5,11.2,10.6
Tây Ninh,152.2,154.4,154.2,155.5,155.3,146.3,142.2,144.5,144.6,147.9,149.5,149.1,147.7,147.8
Bình Dương,11.7,10.4,10.1,9.8,9.6,9.3,8.3,7.6,7.3,7.2,6.9,6.7,6.3,6
Đồng Nai,75,73.2,69.4,68.7,68.4,66.2,65.3,63.6,61.7,60.7,59.8,58.8,55.7,53.9
Bà Rịa - Vũng Tàu,24.1,24.7,22.4,23.7,24.1,23.5,23.5,24.5,25.1,24.8,25,24.5,24.4,24
TP.Hồ Chí Minh,30.3,27.2,24.4,22,22.4,21.4,20.9,20.3,19.5,19.1,16.9,16.8,16.7,16.6
Long An,457,463.6,471.1,484.2,499.6,527.7,519.2,522.9,527.4,526.7,511.3,506.3,502.6,511.3
Tiền Giang,244.9,246.4,244,241.8,241.4,235.6,230.6,224.7,215.5,210.8,201.3,184.3,136,131.9
Bến Tre,79.2,81.1,80.2,76.9,75.8,72.2,66.6,63,41.5,54.9,51.8,47.6,22,36.6
Trà Vinh,226.9,231.9,232.7,233,227.4,235.6,235.8,235.8,210.6,220.2,223.2,224.3,205.2,209
Vĩnh Long,177.4,176.7,170,181.5,185.9,181.9,180.2,180.5,176.4,169.4,161.9,155.5,145.8,134.5
Đồng Tháp,468.1,450.8,465.1,501.1,487.6,541.8,528.6,546,551.4,538.3,520.4,521.6,514.2,504.4
An Giang,564.5,557.3,586.6,607.6,625.1,641.4,625.8,644.2,669,641.1,623.1,626.3,637.2,624.9
Kiên Giang,609.2,622.1,642.7,686.9,725.1,770.4,753.6,769.5,765.9,735.3,728.4,722.1,725.8,715.7
Cần Thơ,218.6,208.8,209.4,224.7,228.2,236.6,232.3,237.9,240,240.1,237.3,225.1,223,222.4
Hậu Giang,202.9,191.2,210.7,212.7,214.1,212,205.3,207.1,202.2,206.6,194.6,196.1,198.2,189
Sóc Trăng,322.3,334.6,349.6,349,365.9,373.5,363.9,362.7,356.6,348.2,351.8,356.3,353.7,327.9
Bạc Liêu,155,166.5,158.3,164.3,178.7,181.8,180.2,180.6,172.4,180.6,185,188.2,187.6,191
Cà Mau,132.9,139,125.5,130.2,129.2,129.8,127.4,126.6,112.2,113.1,117.4,115.6,112.4,100.1
